name,date,annee,mois,developer,genres,price,owners,owners_min,nb_avis,ratio_pos,petit_studio,fetes,succes_com,succes_critique,periode_etude,appid,free
Ladykiller in a Bind,2017-01-09,2017,1,Love Conquers All Games,Sexual Content;Nudity;Indie,17.66,0-20000,0,178,0.955,True,False,False,True,True,560000,False
Starship Survivor,2016-12-23,2016,12,Edgy Labs LLC,Action;Indie;Strategy;Early Access,21.65,0-20000,0,10,0.6,True,True,False,False,True,560010,False
Xmas Shooting - Scramble!!,2016-12-16,2016,12,Orange_Juice,Action;Indie,4.55,0-20000,0,72,0.903,True,True,False,True,True,560050,False
I was rebuilt,2018-06-28,2018,6,Gurila Ware Games,Action;Adventure;Casual;Indie,4.55,0-20000,0,23,0.609,True,False,False,False,False,560080,False
PLANNES,2016-12-08,2016,12,"Tricol Co., Ltd.",Action;Indie;Sports,12.53,0-20000,0,13,0.846,True,True,False,False,True,560150,False
World In Danger,2017-02-09,2017,2,ColtGames,Action;Indie,2.27,0-20000,0,8,1.0,True,False,False,False,True,560180,False
A Number's life,2016-12-13,2016,12,AppGeneration,Casual;Indie,3.18,0-20000,0,7,0.857,True,True,False,False,True,560200,False
Estiman,2016-11-23,2016,11,Kool2Play,Indie,0.9,0-20000,0,34,0.882,True,True,False,False,True,560220,False
Galaxy Girls,2017-09-15,2017,9,Dharker Studio,Sexual Content;Nudity;Adventure;Casual;Indie,12.98,0-20000,0,83,0.651,True,False,False,False,True,560250,False
Super Blue Boy Planet,2016-12-16,2016,12,Tuwi Michael Nannings,Free to Play;Indie,0.0,200000-500000,200000,2356,0.9,True,True,True,True,True,560260,True
Thy Sword,2017-11-14,2017,11,GamePhase,Action;Adventure;Indie;RPG,6.83,0-20000,0,39,1.0,True,True,False,False,True,560300,False
Tower Ascent,2017-09-07,2017,9,KitTheNinja;Ate134;FFTG - Nate;Kanestapler,Casual;Indie;Racing;Simulation;Sports,2.27,0-20000,0,3,0.333,True,False,False,False,True,560340,False
High Noon Revolver,2017-01-25,2017,1,Mike Studios,Action;Indie,4.55,0-20000,0,15,0.867,True,False,False,False,True,560510,False
void LINK,2017-12-27,2017,12,Zentrifuge,Indie;Strategy;Early Access,8.2,0-20000,0,20,1.0,True,True,False,False,True,560550,False
Breaking Bones,2016-11-28,2016,11,Duplicator Studio,Action;Indie,4.55,0-20000,0,12,0.5,True,True,False,False,True,560570,False
The Cabin: VR Escape the Room,2017-01-05,2017,1,Blue Entropy Studios,Action;Adventure;Casual;Indie;Strategy,4.55,20000-50000,20000,70,0.671,True,False,False,False,True,560640,False
Leap Up no jutsu,2016-12-30,2016,12,nlfastudio,Action;Casual;Indie,0.9,20000-50000,20000,24,0.583,True,True,False,False,True,560710,False
Singing Stones VR,2016-12-16,2016,12,Chingis LLC,Casual;Indie;Simulation,4.55,0-20000,0,6,0.5,True,True,False,False,True,560870,False
Marimba VR,2017-01-02,2017,1,Ruby Games,Casual;Indie;Simulation,1.81,0-20000,0,2,0.0,True,False,False,False,True,560930,False
Magic Tavern,2016-11-23,2016,11,Cykyria,Casual;Indie,0.9,0-20000,0,6,0.5,True,True,False,False,True,560960,False
Delicious - Emily's Home Sweet Home,2016-12-15,2016,12,GameHouse,Adventure;Casual;Indie,11.39,0-20000,0,30,0.933,True,True,False,False,True,561000,False
Spirit,2017-01-05,2017,1,Nylund Games,Casual;Indie,2.27,0-20000,0,10,0.8,True,False,False,False,True,561010,False
The Price of Freedom,2016-12-22,2016,12,Construct Studio,Adventure;Indie,0.0,50000-100000,50000,355,0.938,True,True,True,True,True,561080,True
Bamboo EP,2016-12-15,2016,12,Sokpop Collective,Indie,5.46,0-20000,0,38,0.921,True,True,False,False,True,561190,False
Special Delivery,2016-12-16,2016,12,Meerkat Gaming,Action;Casual;Indie;Simulation,7.97,0-20000,0,21,0.667,True,True,False,False,True,561230,False
The Rabbit and The Owl,2018-08-03,2018,8,"Formal Sheep, LLC",Indie,8.2,0-20000,0,28,0.964,True,False,False,False,False,561260,False
Merlin adventurer store,2016-12-02,2016,12,DyingCat,Casual;Indie;Simulation,2.27,200000-500000,200000,127,0.85,True,True,True,True,True,561340,False
Hot Plates,2017-06-16,2017,6,bluebox interactive;RoJarl Entertainment,Action;Casual;Indie;Simulation,4.55,0-20000,0,18,0.444,True,False,False,False,True,561420,False
Mutant Fighting Cup 2,2017-02-15,2017,2,playchocolate,Action;Indie;RPG,5.46,0-20000,0,29,0.793,True,False,False,False,True,561450,False
96 Mill,2017-01-26,2017,1,Ethereal Darkness Interactive,Adventure;Indie,5.46,0-20000,0,26,0.808,True,False,False,False,True,561480,False
DragoDino,2017-06-20,2017,6,TealRocks Studio,Action;Indie,10.25,0-20000,0,16,0.938,True,False,False,False,True,561510,False
Emission VR,2016-11-30,2016,11,VRSpec Team,Action;Adventure;Indie,,0-20000,0,7,0.286,True,True,False,False,True,561690,False
MidBoss,2017-05-25,2017,5,Kitsune Games,Casual;Indie;RPG;Strategy,12.53,0-20000,0,184,0.864,True,False,False,True,True,561740,False
Just Ignore Them,2017-04-28,2017,4,Stranga,Sexual Content;Violent;Gore;Adventure;Indie,3.75,0-20000,0,313,0.76,True,False,False,False,True,561770,False
Sword of the Guardian,2018-06-17,2018,6,Billy Chan,Action;Casual;Indie,11.73,0-20000,0,27,1.0,True,False,False,False,False,561930,False
REALITY,2016-11-30,2016,11,Grey Reality Studios,Adventure;Free to Play;Indie,0.0,0-20000,0,84,0.667,True,True,False,False,True,561970,True
Liquid Pinball,2016-11-24,2016,11,RunServer,Casual;Indie,0.9,0-20000,0,60,0.75,True,True,False,False,True,562050,False
Kronos,2017-02-03,2017,2,UroboroStudio,Action;Indie;RPG,4.55,0-20000,0,17,0.588,True,False,False,False,True,562090,False
The Inner Darkness,2017-02-24,2017,2,Nauris Amatnieks,Adventure;Casual;Indie,4.55,0-20000,0,63,0.778,True,False,False,False,True,562160,False
Zup! 2,2016-12-05,2016,12,Quiet River,Casual;Indie,0.9,100000-200000,100000,4774,0.953,True,True,True,True,True,562220,False
